name,address,long,lat
牛頭角道體育館,九龍觀塘牛頭角道183號牛頭角市政大廈4樓,114-12-59,22-19-17
寶翠公園,新界將軍澳毓雅里,114-15-11,22-19-30
啓德郵輪碼頭公園,九龍承豐道33號,114-12-49,22-18-21
香港中央圖書館,香港銅鑼灣高士威道66號,0114/11/23,22-16-48
九龍公園,九龍尖沙咀柯士甸道22號,0114/10/13,22-18-0
土瓜灣公共圖書館,九龍馬頭圍道165號土瓜灣政府合署5至6樓,0114/11/17,22-19-2
鯉魚門體育館,九龍油塘鯉魚門徑6號鯉魚門市政大廈2樓及5樓,114-14-19,22-17-31
蝴蝶灣社區中心,新界屯門蝴蝶邨地下及1樓,113-57-43,22-22-29
東區法院大樓,香港西灣河太安街29號,114-13-27,22-17-4
大元社區會堂,新界大埔大元邨,0114/10/7,22-27-20
九龍灣體育館,九龍九龍灣啟樂街15號地下,114-12-40,22-19-37
運輸署沙田牌照事務處,新界沙田上禾輋路1號沙田政府合署2樓,0114/11/13,22-23-8
石硤尾公園,九龍深水埗石硤尾南昌街270號,0114/10/16,22-20-19
荔枝角公園體育館,九龍荔枝角荔灣道1 號地下及1樓,0114/8/18,22-20-27
鴨脷洲風之塔公園,香港鴨脷洲利枝道,0114/9/7,22-14-43
大角咀公共圖書館,九龍大角咀福全街63號大角咀市政大厦3樓,114-9-46,22-19-19
九龍寨城公園,九龍九龍城東正道,0114/11/25,22-19-55
茜草灣鄰里社區中心,九龍觀塘茶果嶺道81號,114-13-44,22-18-26
恒安體育館,新界沙田馬鞍山恒安邨恒安商場4樓,114-13-40,22-25-0
稅務局-商業登記署,香港灣仔告士打道5號稅務大樓4樓,0114/10/19,22-16-47
入境事務及人事登記 - 火炭辦事處,新界火炭樂景街2至18號銀禧薈4樓405及406號鋪位,114-11-59,22-23-47
坑口社區會堂,新界將軍澳坑口培成路38號西貢將軍澳政府綜合大樓地下,114-16-6,22-19-2
香港單車館,新界將軍澳寶康路105-107號,114-15-45,22-18-47
大埔社區中心,新界大埔鄉事會街2號地下,114-9-58,22-26-48
駱克道街市熟食中心,香港灣仔駱克道225號2樓,114-10-32,22-16-41
鴨脷洲社區會堂,香港鴨脷洲鴨脷洲邨鴨脷洲社區會堂地下,0114/9/1,22-14-42
運輸署九龍灣驗車中心,九龍九龍灣祥業街2號地下,114-12-44,22-19-3
沙咀道遊樂場,新界荃灣沙咀道171-199號,114-6-48,22-22-19
荃灣民政事務處 - 諮詢服務中心,新界荃灣青山公路荃灣段174-208號荃灣多層停車場大廈1樓,0114/7/7,22-22-21
華貴社區中心,香港奇力灣華貴邨地下,0114/8/17,22-15-1
長發體育館,新界青衣長發邨長發商場4樓,0114/6/11,22-21-45
高等法院,香港金鐘道38號,114-9-48,22-16-42
和興社區會堂,新界粉嶺和鳴里7號地下,114-8-33,22-29-6
佛光街體育館,九龍何文田牧愛街18號9至10樓,114-10-52,22-18-53
上環文娛中心,香港皇后大道中345號上環市政大廈五樓,114-8-60,22-17-10
東頭社區中心,九龍黃大仙樂善道 26 號,114-11-37,22-19-55
保榮路體育館,新界上水百和路19號,114-7-42,22-29-49
大埔體育館,新界大埔汀太路13號地下及1樓,114-9-54,22-27-19
入境事務處 - 延期逗留組,香港灣仔告士打道7號入境事務大樓5樓,0114/10/23,22-16-47
龍興公共圖書館,九龍黃大仙下邨(二區)龍興樓地下北翼,114-11-34,22-20-26
